Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Last name_customeremail""), ""tester1234mailinator.com"")",Chrome 130.0.0.0,,,01-11-2024 15:56:41,01-11-2024 15:56:42,0.604s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Email_customerpassword""), ""UDMlkmqWREzH+mr49N5wRw=="")",Chrome 130.0.0.0,,,01-11-2024 15:56:42,01-11-2024 15:56:42,0.350s,PASSED
"takeScreenshot(screenshotFolderPath + ""wrong_emailBefore.png"")",Chrome 130.0.0.0,,,01-11-2024 15:56:42,01-11-2024 15:56:43,0.331s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/button_Create""))",Chrome 130.0.0.0,,,01-11-2024 15:56:43,01-11-2024 15:56:45,2.099s,PASSED
"verifyTextPresent(error_msg1, false)",Chrome 130.0.0.0,,,01-11-2024 15:56:45,01-11-2024 15:56:46,0.872s,PASSED
"verifyTextPresent(error_msg4, false)",Chrome 130.0.0.0,,,01-11-2024 15:56:46,01-11-2024 15:56:46,0.255s,PASSED
"takeScreenshot(screenshotFolderPath + ""wrong_emailAfter.png"")",Chrome 130.0.0.0,,,01-11-2024 15:56:46,01-11-2024 15:56:46,0.310s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Create account_customerfirst_name""), l_name)",Chrome 130.0.0.0,,,01-11-2024 15:56:46,01-11-2024 15:56:47,0.946s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_First name_customerlast_name""), ""Sing"")",Chrome 130.0.0.0,,,01-11-2024 15:56:47,01-11-2024 15:56:48,0.538s,PASSED
"setText(findTestObject(""Object Repository/Thread_Webshop/Register_/Page_Create Account  Threads/input_Last name_customeremail""), uniqueEmail)",Chrome 130.0.0.0,,,01-11-2024 15:56:48,01-11-2024 15:56:48,0.610s,PASSED
